,Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
Ligand 0,unq_CSD-PACPEP-03-a,C14H10N2O2,3,-2,O-N-O,28,238.246,0.475986552,False,True,13.141956811677627,2.4062998577404144,87f909f80ab9500c263072cf98d79bfd,32,"PACPEP, TEHYEM, LOFTIJ, BIQCEM, BIQCEM, ... (27 more)","V(13), Mo(5), Cu(5), Ti(2), Mn(2), ... (5 more)"
Ligand 1,unq_CSD-PAZVUI-02-a,C10H10N4,2,0,N-N,24,186.218,0.4127306367,False,True,10.158304976717327,2.381162141630986,01dda603e5005066e42605820feb0991,12,"PAZVUI, LIDQAQ, MABWIW, MABWIW, QOPGIM, ... (7 more)","Cu(4), Ru(2), Ni(2), Os(2), Cd(1), ... (1 more)"
Ligand 2,unq_CSD-PAGDUZ-01-a,C2H7N1,1,0,N,10,45.085,0.3837268428,False,True,4.0163621711693285,2.3730177306543667,69af7bc4fbc97bf018861ee28fbb83af,168,"PAGDUZ, PAGDUZ, PALHER, PALHOB, PAWWOZ, ... (163 more)","Ti(60), Zr(20), V(18), Mo(14), Ta(12), ... (14 more)"
