,Ligand ID,Stoichiometry,Denticity,Donors,Predicted Charge,Confident Charge,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
Ligand 0,unq_CSD-ENAKOW-03-a,C12H9N3O1,3,N-N-O,-2,True,ffa73f17f3a410fb9633fe35776612a7,1,ENAKOW,Pd(1)
Ligand 1,unq_CSD-COYHUU-02-c,C5H14N2,2,N-N,0,True,f040fa3f29104b5b517ce5424cc8c860,6,"COYHUU, COYJAC, XEHPUW, FIWWAL, ROKGON01, ... (1 more)","Ni(2), Zn(1), Cd(1), Cu(1), Co(1)"
Ligand 2,unq_CSD-SERJUU-01-c,C3H7N1,1,N,0,True,40d924a0adb2d44e673a172745ba0256,1,SERJUU,Pd(1)
