,Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
Ligand 0,unq_CSD-PARXUE-03-a,C17H13N3O1,3,0,O-N-N,34,275.311,0.7579602464,False,True,13.393638747554752,1.9735410686854875,d088bc1d8a3ffa057b8ca700e3a4309e,1,PARXUE,Cu(1)
Ligand 1,unq_CSD-PAWYOC-02-a,C4H9O2,2,-1,O-O,15,89.114,0.2680492779,False,True,5.883610714518763,2.038620643414273,7b8cfe0be03a421c5de3c2a63a99ba4f,1,PAWYOC,V(1)
Ligand 2,unq_CSD-OZOJUJ-01-b,C1H3,1,-1,C,4,15.034999999999997,0.7796427081,False,False,1.6011017269367993,2.0491614309272954,a2b7bbb6ca4ce36dc3147760335e7374,4032,"OZOJUJ, OZOKAQ, OZOKIY, OZOZIN, OZOZOT, ... (4027 more)","Pt(1513), Pd(764), Ni(198), Co(160), Ti(146), ... (32 more)"
