,CSD_Code,Ligand_Charge,Carbon_state
0,ZALHUS,-1,2
1,KIGSEB,-1,2
2,XAXLEQ,-1,2
3,KEWWAM,0,c
4,TEDPID,-1,c
5,BODBIG,0,c
6,FEMHEK,-1,2
7,MEJYUX,-1,2
8,FEJXUN,-1,2
9,EKOQIF,-1,2
10,REMSEI,0,c
11,CAGSUY,-1,2
12,JODWAB,-1,2
13,YOZZOD,-1,2
14,FIVJOM,-1,2
15,MANTIE,-1,2
16,NEKVEH,-1,2
17,NICBEJ,-1,2
18,OYOKOD,0,c
19,VUCGEG,0,c
20,WOMDUA,0,c
21,NIRNOT,0,c
22,FIVJUS,-1,2
23,UJEGUM,-1,2
24,SAWMAG,-1,2
25,YAFCUF,0,c
26,OSAHUN,-1,2
27,CINDAH,0,c
28,XESHAG,0,c
29,MANSID,-1,2
30,ZALGUR,-1,2
31,REHPOM,-1,2
32,QAWDOJ,-1,2
33,NITQAK,-1,2
34,ZALHAY,-1,2
35,MEJYOR,-1,2
36,HIBRIU,-1,2
37,CILPEV,-1,2
38,XULFUG,-1,2
39,LICQIY,-1,2
40,UJEHAT,-1,2
41,ADANEB,0,c
42,REMSAE,0,c
43,TADTUP,0,c
44,ZALJOO,-1,2
45,EKOKEV,-1,2
46,DEDVOY,0,c
47,CIDDEB,-1,2
48,RIJMEE,-1,2
49,IFIHAI,-1,2
50,AGEMAB,-1,2
