,Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
Ligand 0,unq_CSD-PAKJUI-03-a,C12H13N3,3,0,N-N-N,28,199.257,0.3143469099,False,True,11.150539765410462,1.9825695399797125,7405c0cf693dbb67010ab685e652a918,99,"PAKJUI, PAYHEE, LEZDOK, LEZFEC, LULNEL, ... (94 more)","Cu(20), Pt(13), Zn(12), Fe(11), Pd(5), ... (14 more)"
Ligand 1,unq_CSD-PASKOK-02-a,C3H8N2O2,2,0,N-N,15,104.10899999999998,0.2765324049,False,True,5.471741151589685,1.9766119225333332,a283b0ff1d9ad1b8eff168f9eac57023,2,"PASKOK, PASKOK",Co(2)
Ligand 2,unq_CSD-PAHWIF-01-a,C4O4,1,-2,O,8,112.03999999999999,0.9718626377,False,False,4.566791996577028,1.9623788675992206,7b182d14e6b499355fa496a4dd288d16,11,"PAHWIF, QAGZEF, KEJKEP, KELNOE, KELNUK, ... (6 more)","Cu(5), Co(3), Yb(2), Eu(1)"
