,Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
Ligand 0,unq_CSD-PECTEW-03-a,C17H11N1,3,-2,N-C-C,29,229.282,0.899958107,False,True,11.18673926843743,2.0550074859382583,578e2a50c913a5569ac31b3d80265c91,33,"PECTEW, PECWOJ, TAMJIB, LIYRET, LUPYAY, ... (28 more)","Au(23), Pt(6), Pd(2), Os(1), Ir(1)"
Ligand 1,unq_CSD-PAXXUK-02-a,C7H8N2O1,2,0,N-N,18,136.154,0.4682992974,False,True,7.411797068862585,2.0649485043758706,d8fde1f1696fc991a3a182643ebfc0a5,28,"PAXXUK, PAXYAR, MEBSIW, MEBSIW, QIQLAD, ... (23 more)","Ni(12), Zn(5), Cu(4), Ru(3), Mn(3), ... (1 more)"
Ligand 2,unq_CSD-PAFKOY-01-a,C2H3N1,1,0,C,6,41.053000000000004,0.469266057,False,False,3.0542803489529247,2.675105263349463,4b41a049552163f4b6a218d364d84edd,108,"PAFKOY, POSZEC, POSZEC, TEFPOK, TEFPOK, ... (103 more)","Mo(24), W(20), Fe(16), Pt(14), Pd(12), ... (9 more)"
